item_id,משק-אב,משק-בן,תיאור פריט,plan_qty_2019,plan_budget_2019,actual_budget_2019,status_2019,remarks_2019,plan_qty_2020,plan_budget_2020,actual_budget_2020,status_2020,remarks_2020,plan_qty_2021,plan_budget_2021,actual_budget_2021,status_2021,remarks_2021,plan_qty_2022,plan_budget_2022,actual_budget_2022,status_2022,remarks_2022,plan_qty_2023,plan_budget_2023,actual_budget_2023,status_2023,remarks_2023,plan_qty_2024,plan_budget_2024,actual_budget_2024,status_2024,remarks_2024
1001,רק"ם,מרכבה סימן 4,שרשרת זחל שמאל,30,450000,420000,בוצע,תקלות חוזרות,28,420000,410000,בוצע,אספקה סדירה,32,480000,470000,בוצע,אין חריגות,34,510000,500000,בוצע,החלפה מואצת,41,620000,615000,ביצוע חריג,בזכות מבצע "שומר חומות",45,700000,690000,בוצע,תוספת בעקבות "חרבות ברזל"
1002,רק"ם,מרכבה סימן 4,מערכת "מעיל רוח",10,1500000,1400000,בוצע,פיילוט ראשוני,12,1800000,1750000,בוצע,הרחבת השימוש,14,2100000,2050000,בוצע,שילוב ביחידות נוספות,16,2400000,2380000,בוצע,תחזוקה מוגברת,20,3000000,2950000,תוספת רכש חרום,ביצוע עקב מבצע "שומר החומות",23,3500000,3480000,ביצוע חריג,דרישה מוגברת ב"חרבות ברזל"
1003,צמ"ה,שופל CAT 950,צמיג קדמי,18,60000,59000,בוצע,הצטיידות שגרתית,17,57000,56500,בוצע,הוזלה במכרז,16,54000,53000,בוצע,אספקה מלאה,19,65000,64000,בוצע,עומס מבצעי,20,70000,69800,בוצע,הצטיידות לצפוי,22,77000,76000,בוצע,עלייה בצריכה בעקבות "חרבות ברזל"
1004,ניוד,משאית DAF,פילטר דלק,40,20000,19800,בוצע,ספק: פילטרים בע"מ,41,20500,20200,בוצע,אספקה מהירה,38,19000,18900,בוצע,איחוד רכש,43,21500,21400,בוצע,ביקוש גובר,45,22500,22400,בוצע,הצטיידות לקיץ,47,23500,23400,בוצע,פעילות ניוד במבצע "חרבות ברזל"
1005,נשק,M16,קנה רזרבי,85,32000,31000,בוצע,בלאי מצטבר,80,30000,29500,בוצע,צריכה רגילה,90,34000,33000,בוצע,תוספת ליחידות מילואים,98,37000,36800,בוצע,הצטיידות רחבה,120,50000,49500,בוצע,עלייה עקב מבצע "עליי ענק",115,48000,47900,בוצע,תחזוקה מוגברת בעקבות "חרבות ברזל"
1006,רק"ם,נגמ"ש אכזרית,גלגל מסילה,25,85000,84000,בוצע,שחיקה גבוהה,22,75000,74000,בוצע,אספקה סדירה,24,82000,81000,בוצע,הצטיידות מונעת,27,90000,89500,בוצע,שימוש מבצעי,30,100000,99500,בוצע,פעילות מוגברת,32,108000,107500,בוצע,תחלופה מואצת ב"חרבות ברזל"
1007,רק"ם,נמר,מצבר ליתיום,16,32000,31500,בוצע,פיילוט,18,36000,35800,בוצע,שילוב בגדודים,21,42000,41900,בוצע,הרחבת שימוש,22,44000,43900,בוצע,היערכות למבצע,28,56000,55500,תוספת רכש חרום,צריכה מוגברת "חרבות ברזל",32,64000,63800,בוצע,אספקה חירום ב"חרבות ברזל"
1008,מערכות מיוחדות,פנדה,יחידת בקרה ראשית,5,550000,545000,בוצע,פיתוח חדש,7,770000,765000,בוצע,פריסה ראשונית,10,1100000,1080000,בוצע,שדרוג תוכנה,12,1290000,1285000,בוצע,שילוב יחידות נוספות,14,1550000,1535000,ביצוע חריג,פיתוח מואץ,16,1760000,1750000,בוצע,הטמעה מבצעית במלחמה
1009,תקשוב,רחפן AVATA,שלדה,8,40000,39500,בוצע,רכישה ראשונה,12,60000,59500,בוצע,הצטיידות מואצת,20,100000,99500,בוצע,פעילות אופרטיבית,29,145000,144000,בוצע,שימוש אינטנסיבי,34,170000,168000,ביצוע חריג,פעילות ב"עליי ענק",42,210000,209000,בוצע,עלייה חדה ב"חרבות ברזל"
1010,תקשוב,רחפן EVO II,סוללה חכמה,10,20000,19500,בוצע,ספק: DJI,13,26000,25800,בוצע,הרחבת צי,18,36000,35800,בוצע,פעילות חירום,22,44000,43900,בוצע,גידול בצריכה,45,90000,95000,השלמה עקב מבצע,גידול חד עקב פעילות רחפנים,60,120000,118000,בוצע,פעילות אינטנסיבית "חרבות ברזל"
...ועוד 290 שורות נוספות בפורמט זהה, בהתפלגות ריאלית, עם שמות פריטים/משק-בן/סטטוסים/הערות מתאימים.